topic_id,top_words,expert_label,include_exclude,comment
0,"poisoning, acute, in, exchange, patients, plasmapheresis, care, hypoglycemia, of, clinical",General acute toxicology / mixed poisoning,EXCLUDE,Dominated by non-mushroom poisoning and supportive-care literature; mushroom poisoning is not the central semantic focus.
1,"embryos, cell, stage, embryonic, oocytes, development, the, in, during, bovine",Bovine embryonic development / unrelated developmental biology,EXCLUDE,"Unrelated to mushroom poisoning or toxicology; representative papers focus on bovine oocytes, embryos, and genome activation."
2,"amanita, phalloides, poisoning, intoxication, muscaria, caused, failure, renal, agaric, fly",Amanita phalloides poisoning and clinical management,INCLUDE,Highly coherent mushroom-specific cluster centered on Amanita phalloides intoxication and management.
3,"amatoxin, amanita, poisoning, patients, failure, liver, mushroom, ingestion, with, acute",Amatoxin-induced hepatotoxicity and clinical management,INCLUDE,"Core mushroom-toxicology cluster focused on amatoxin poisoning, acute liver failure, diagnosis, and treatment including NAC."
4,"liver, failure, acute, hepatic, fhf, pigs, model, and, srbal, management",Amatoxin-associated acute liver failure and experimental hepatotoxicity,INCLUDE,"Mixed clinical and experimental hepatology cluster, but mechanistically linked to alpha-amanitin-induced fulminant hepatic failure and liver-support research."
5,"ama, amanitin, alpha, hepatocytes, induced, cells, hepatotoxicity, and, in, the",Alpha-amanitin hepatocyte injury and hepatoprotective interventions,INCLUDE,"Relevant mechanistic toxicology cluster focused on alpha-amanitin-induced hepatotoxicity, hepatocyte apoptosis, and candidate protective agents."
6,"species, lamp, identification, mushroom, poisonous, amplification, phylogenetic, based, isothermal, dna",Molecular identification of poisonous mushrooms,INCLUDE,Relevant diagnostic/prevention cluster focused on DNA/LAMP-based rapid identification of poisonous mushroom species.
7,"classification, learning, deep, machine, based, image, neural, using, mushroom, edible",AI and machine-learning classification of edible versus poisonous mushrooms,INCLUDE,Relevant computational-prevention theme addressing image-based or machine-learning differentiation of edible and poisonous mushrooms.
8,"cortinarius, orellanine, renal, orellanus, kidney, acute, or, failure, parsley, nephrotoxic",Cortinarius / orellanine nephrotoxicity,INCLUDE,"Strong mushroom-specific nephrotoxicity cluster focused on Cortinarius poisoning, orellanine exposure, and renal failure."
9,"species, lepiota, amatoxins, amanita, galerina, sulciceps, phalloides, phallotoxins, and, marginata",Amatoxin and phallotoxin profiling across poisonous mushroom genera,INCLUDE,"Relevant analytical/toxin-composition cluster involving Amanita, Lepiota, Galerina, amatoxins, and phallotoxins."
10,"chromatin, transcription, nuclear, dna, histone, that, replication, ii, the, of",Chromatin and transcription biology unrelated to mushroom poisoning,EXCLUDE,"Representative papers concern chromatin, transcription, and viral/cellular genome regulation; not mushroom-specific."
11,"province, poisoning, mushroom, china, meteorological, guizhou, wild, epidemiological, incidents, cases",Epidemiology and environmental predictors of mushroom poisoning,INCLUDE,"Relevant public-health cluster focused on mushroom poisoning incidence, meteorological factors, and regional surveillance, especially in China."
12,"as1, mir, cells, expression, mirna, mapt, cancer, by, mirnas, glioma",Cancer lncRNA / miRNA biology unrelated to mushroom poisoning,EXCLUDE,Representative papers are oncology and RNA-regulation studies without meaningful mushroom-poisoning relevance.
13,"ms, urine, method, amanitin, samples, ml, for, liquid, detection, chromatography",Clinical detection of amatoxins in biological samples,INCLUDE,"Relevant diagnostic toxicology cluster focused on LC-MS/MS and related analytical methods for detecting amatoxins in urine, plasma, and body fluids."
14,"outbreaks, foodborne, disease, fbdos, food, surveillance, province, china, household, households",General foodborne disease outbreak surveillance,EXCLUDE,Dominated by broad foodborne disease surveillance rather than mushroom-specific poisoning.
15,"p53, apoptosis, cancer, kinase, tumor, tnf, inhibition, irofulven, that, induced",Cancer apoptosis and p53 biology with alpha-amanitin as a tool,EXCLUDE,Primarily cancer/cell-death biology; alpha-amanitin appears mainly as an experimental transcription inhibitor rather than mushroom-poisoning subject.
